name,company,year,turnover_type,sentiment,turnover_before
Joseph Rockey,PNC FINANCIAL SVCS GROUP INC,2018,Voluntary,-0.19126,0
Joseph Rockey,PNC FINANCIAL SVCS GROUP INC,2018,Voluntary,0.99614,1
"Gregory Jordan, Esq.",PNC FINANCIAL SVCS GROUP INC,2022,Voluntary,0.37994,0
"Gregory Jordan, Esq.",PNC FINANCIAL SVCS GROUP INC,2022,Voluntary,0.6498,1
Viktoras Sekmakas,PPG INDUSTRIES INC,2017,Voluntary,0.9473,0
Viktoras Sekmakas,PPG INDUSTRIES INC,2017,Voluntary,0.5382,1
Ramaprasad Vadlamannati,PPG INDUSTRIES INC,2019,Voluntary,0.9898,0
Ramaprasad Vadlamannati,PPG INDUSTRIES INC,2019,Voluntary,0.97214,1
Mark Pigott,PACCAR INC,2015,Voluntary,0.74192,0
Mark Pigott,PACCAR INC,2015,Voluntary,0.9832,1
Robert Christensen,PACCAR INC,2017,Voluntary,0.9941,0
Robert Christensen,PACCAR INC,2017,Voluntary,0.9884,1
Gary Moore,PACCAR INC,2019,Voluntary,0.99026,0
Gary Moore,PACCAR INC,2019,Voluntary,0.59978,1
T. Quinn,PACCAR INC,2020,Voluntary,0.97662,0
T. Quinn,PACCAR INC,2020,Voluntary,0.76352,1
Christopher Johns,PG&E CORP,2015,Voluntary,0.49528,0
Christopher Johns,PG&E CORP,2015,Voluntary,0.3638,1
"Anthony Earley, Jr.",PG&E CORP,2017,Voluntary,0.4143,0
"Anthony Earley, Jr.",PG&E CORP,2017,Voluntary,0.98922,1
Karen Austin,PG&E CORP,2017,Voluntary,-0.173,0
Karen Austin,PG&E CORP,2017,Voluntary,0.66162,1
Geisha Williams,PG&E CORP,2019,Voluntary,0.15424,0
Geisha Williams,PG&E CORP,2019,Voluntary,0.60058,1
Steven Malnight,PG&E CORP,2019,Voluntary,0.97316,0
Steven Malnight,PG&E CORP,2019,Voluntary,0.77452,1
William Johnson,PG&E CORP,2020,Voluntary,0.3559,0
William Johnson,PG&E CORP,2020,Voluntary,-0.55942,1
Janet Loduca,PG&E CORP,2020,Voluntary,0.22444,0
Janet Loduca,PG&E CORP,2020,Voluntary,0.26116,1
William Smith,PG&E CORP,2021,Voluntary,0.2228,0
William Smith,PG&E CORP,2021,Voluntary,0.7782,1
Mark Snell,SEMPRA ENERGY,2016,Voluntary,0.98792,0
Mark Snell,SEMPRA ENERGY,2016,Voluntary,0.77298,1
Debra Reed-Klages,SEMPRA ENERGY,2018,Voluntary,0.66576,0
Debra Reed-Klages,SEMPRA ENERGY,2018,Voluntary,0.89842,1
George Bilicic,SEMPRA ENERGY,2020,Voluntary,0.44866,0
George Bilicic,SEMPRA ENERGY,2020,Voluntary,0.99704,1
Jennifer Parmentier,PARKER-HANNIFIN CORP,2019,Voluntary,0.9319,0
Jennifer Parmentier,PARKER-HANNIFIN CORP,2019,Voluntary,0.99234,1
Mario DOvidio,PENTAIR PLC,2022,Voluntary,0.46422,0
Mario DOvidio,PENTAIR PLC,2022,Voluntary,0.59614,1
"Indra Nooyi, M.P.P.M.",PEPSICO INC,2019,Voluntary,0.51052,0
"Indra Nooyi, M.P.P.M.",PEPSICO INC,2019,Voluntary,0.7946,1
John Young,PFIZER INC,2021,Voluntary,0.79362,0
John Young,PFIZER INC,2021,Voluntary,0.99416,1
Denis O'Brien,EXELON CORP,2017,Voluntary,0.79388,0
Denis O'Brien,EXELON CORP,2017,Voluntary,0.99686,1
David Rhoades,EXELON CORP,2021,Voluntary,0.9988,0
David Rhoades,EXELON CORP,2021,Voluntary,0.9587,1
Bryan Hanson,EXELON CORP,2021,Voluntary,0.98742,0
Bryan Hanson,EXELON CORP,2021,Voluntary,0.90156,1
Martin Barrington,ALTRIA GROUP INC,2018,Voluntary,0.59782,0
Martin Barrington,ALTRIA GROUP INC,2018,Voluntary,0.77638,1
Charles Whitaker,ALTRIA GROUP INC,2020,Voluntary,0.97912,0
Charles Whitaker,ALTRIA GROUP INC,2020,Voluntary,0.7924,1
Eric Carr,PUBLIC SERVICE ENTRP GRP INC,2022,Voluntary,0.55014,0
Eric Carr,PUBLIC SERVICE ENTRP GRP INC,2022,Voluntary,0.70592,1
Harmon Smith,PULTEGROUP INC,2018,Voluntary,0.59544,0
Harmon Smith,PULTEGROUP INC,2018,Voluntary,0.61986,1
Jeffrey Trocin,RAYMOND JAMES FINANCIAL INC,2018,Voluntary,0.93376,0
Jeffrey Trocin,RAYMOND JAMES FINANCIAL INC,2018,Voluntary,0.22948,1
Bella Allaire,RAYMOND JAMES FINANCIAL INC,2021,Voluntary,0.7727,0
Bella Allaire,RAYMOND JAMES FINANCIAL INC,2021,Voluntary,0.99418,1
John McDermott,ROCKWELL AUTOMATION,2017,Voluntary,0.99484,0
John McDermott,ROCKWELL AUTOMATION,2017,Voluntary,0.97636,1
"Sujeet Chand, Ph.D.",ROCKWELL AUTOMATION,2018,Voluntary,0.84696,0
"Sujeet Chand, Ph.D.",ROCKWELL AUTOMATION,2018,Voluntary,0.99182,1
Patrick Goris,ROCKWELL AUTOMATION,2021,Voluntary,0.71336,0
Patrick Goris,ROCKWELL AUTOMATION,2021,Voluntary,0.95108,1
Steven Etzel,ROCKWELL AUTOMATION,2021,Voluntary,0.92034,0
Steven Etzel,ROCKWELL AUTOMATION,2021,Voluntary,0.87688,1
Veena Lakkundi,ROCKWELL AUTOMATION,2022,Voluntary,0.66882,0
Veena Lakkundi,ROCKWELL AUTOMATION,2022,Voluntary,0.94516,1
Harry Cynkus,ROLLINS INC,2015,Voluntary,0.97964,0
Harry Cynkus,ROLLINS INC,2015,Voluntary,0.93102,1
Julie Bimmerman,ROLLINS INC,2022,Voluntary,0.45068,0
Julie Bimmerman,ROLLINS INC,2022,Voluntary,0.73256,1
Brian Morrow,ROSS STORES INC,2022,Voluntary,0.8448,0
Brian Morrow,ROSS STORES INC,2022,Voluntary,0.59684,1
Bernard Brautigan,ROSS STORES INC,2018,Voluntary,0.67026,0
Bernard Brautigan,ROSS STORES INC,2018,Voluntary,0.59864,1
Travis Marquette,ROSS STORES INC,2021,Voluntary,0.78856,0
Travis Marquette,ROSS STORES INC,2021,Voluntary,0.71448,1
Vincent Byrd,SMUCKER (JM) CO,2015,Voluntary,0.9923,0
Vincent Byrd,SMUCKER (JM) CO,2015,Voluntary,0.74806,1
Richard Smucker,SMUCKER (JM) CO,2021,Voluntary,0.94888,0
Richard Smucker,SMUCKER (JM) CO,2021,Voluntary,0.78666,1
J. Murphy,EDISON INTERNATIONAL,2021,Voluntary,-0.60676,0
J. Murphy,EDISON INTERNATIONAL,2021,Voluntary,0.51882,1
Kimberly Greene,SOUTHERN CO,2019,Voluntary,0.595,0
Kimberly Greene,SOUTHERN CO,2019,Voluntary,0.30978,1
Ron Ricks,SOUTHWEST AIRLINES,2015,Voluntary,0.9409,0
Ron Ricks,SOUTHWEST AIRLINES,2015,Voluntary,0.58762,1
Ralph De la Vega,AT&T INC,2016,Voluntary,0.4589,0
Ralph De la Vega,AT&T INC,2016,Voluntary,0.96902,1
Jeffery Ansell,STANLEY BLACK & DECKER INC,2020,Voluntary,0.66838,0
Jeffery Ansell,STANLEY BLACK & DECKER INC,2020,Voluntary,0.75786,1
Graham Robinson,STANLEY BLACK & DECKER INC,2020,Voluntary,0.9807,0
Graham Robinson,STANLEY BLACK & DECKER INC,2020,Voluntary,0.87534,1
"Robert Raff, Jr.",STANLEY BLACK & DECKER INC,2022,Voluntary,0.94376,0
"Robert Raff, Jr.",STANLEY BLACK & DECKER INC,2022,Voluntary,0.72828,1
Cyrus Russi Taraporevala,STATE STREET CORP,2017,Voluntary,0.98642,0
Cyrus Russi Taraporevala,STATE STREET CORP,2017,Voluntary,0.63136,1
Francisco Aristeguieta Silva,STATE STREET CORP,2022,Voluntary,0.78622,0
Francisco Aristeguieta Silva,STATE STREET CORP,2022,Voluntary,0.992,1
Robert Charlton,SYSCO CORP,2019,Voluntary,0.76556,0
Robert Charlton,SYSCO CORP,2019,Voluntary,0.54842,1
Joel Grade,SYSCO CORP,2021,Voluntary,0.88384,0
Joel Grade,SYSCO CORP,2021,Voluntary,0.99794,1
James Leyden,TELEFLEX INC,2020,Voluntary,0.5597,0
James Leyden,TELEFLEX INC,2020,Voluntary,0.89372,1
Gregory Beecher,TERADYNE INC,2019,Voluntary,0.39956,0
Gregory Beecher,TERADYNE INC,2019,Voluntary,0.98686,1
Stephen Anderson,TEXAS INSTRUMENTS INC,2016,Voluntary,0.59532,0
Stephen Anderson,TEXAS INSTRUMENTS INC,2016,Voluntary,0.97506,1
Kevin Ritchie,TEXAS INSTRUMENTS INC,2017,Voluntary,0.71872,0
Kevin Ritchie,TEXAS INSTRUMENTS INC,2017,Voluntary,0.38666,1
Kevin March,TEXAS INSTRUMENTS INC,2017,Voluntary,0.77004,0
Kevin March,TEXAS INSTRUMENTS INC,2017,Voluntary,0.40076,1
Peter Wilver,THERMO FISHER SCIENTIFIC INC,2016,Voluntary,0.79224,0
Peter Wilver,THERMO FISHER SCIENTIFIC INC,2016,Voluntary,0.75814,1
Thomas Loewald,THERMO FISHER SCIENTIFIC INC,2016,Voluntary,0.97604,0
Thomas Loewald,THERMO FISHER SCIENTIFIC INC,2016,Voluntary,0.9939,1
"Mark Stevenson, Ph.D.",THERMO FISHER SCIENTIFIC INC,2021,Voluntary,0.81342,0
"Mark Stevenson, Ph.D.",THERMO FISHER SCIENTIFIC INC,2021,Voluntary,0.79156,1
"Michael Boxer, Esq.",THERMO FISHER SCIENTIFIC INC,2022,Voluntary,0.94162,0
"Michael Boxer, Esq.",THERMO FISHER SCIENTIFIC INC,2022,Voluntary,0.13934,1
"Judith Reinsdorf, J.D.",TYCO INTERNATIONAL PLC,2015,Voluntary,-0.01844,0
"Judith Reinsdorf, J.D.",TYCO INTERNATIONAL PLC,2015,Voluntary,0.98408,1
Jay Spradley,TYSON FOODS INC  -CL A,2019,Voluntary,0.95038,0
Jay Spradley,TYSON FOODS INC  -CL A,2019,Voluntary,0.9946,1
John Koraleski,UNION PACIFIC CORP,2015,Voluntary,0.74616,0
John Koraleski,UNION PACIFIC CORP,2015,Voluntary,0.91464,1
Lynden Tennison,UNION PACIFIC CORP,2018,Voluntary,0.9642,0
Lynden Tennison,UNION PACIFIC CORP,2018,Voluntary,0.65072,1
Kurt Kuehn,UNITED PARCEL SERVICE INC,2015,Voluntary,0.96342,0
Kurt Kuehn,UNITED PARCEL SERVICE INC,2015,Voluntary,0.98876,1
Kevin Warren,UNITED PARCEL SERVICE INC,2019,Voluntary,0.97462,0
Kevin Warren,UNITED PARCEL SERVICE INC,2019,Voluntary,0.99736,1
Robert Leduc,RTX CORP,2017,Voluntary,0.12284,0
Robert Leduc,RTX CORP,2017,Voluntary,0.71602,1
Anthony O'Brien,RTX CORP,2021,Voluntary,0.98734,0
Anthony O'Brien,RTX CORP,2021,Voluntary,0.7545,1
Marvin Pember,UNIVERSAL HEALTH SVCS INC,2022,Voluntary,0.99082,0
Marvin Pember,UNIVERSAL HEALTH SVCS INC,2022,Voluntary,0.99006,1
Robert Shearer,VF CORP,2015,Voluntary,0.59892,0
Robert Shearer,VF CORP,2015,Voluntary,0.99098,1
Scott Baxter,VF CORP,2018,Voluntary,0.99216,0
Scott Baxter,VF CORP,2018,Voluntary,0.69472,1
Suzanne Wood,VULCAN MATERIALS CO,2022,Voluntary,0.87716,0
Suzanne Wood,VULCAN MATERIALS CO,2022,Voluntary,0.78564,1
"Charles Holley, Jr.",WALMART INC,2015,Voluntary,0.74208,0
"Charles Holley, Jr.",WALMART INC,2015,Voluntary,0.94824,1
Gregory Foran,WALMART INC,2018,Voluntary,0.7945,0
Gregory Foran,WALMART INC,2018,Voluntary,0.82568,1
Timothy McLevish,CARRIER GLOBAL CORP,2020,Voluntary,0.79066,0
Timothy McLevish,CARRIER GLOBAL CORP,2020,Voluntary,0.78713,1
"Jeffrey Berkowitz, J.D.",WALGREENS BOOTS ALLIANCE INC,2015,Voluntary,0.79148,0
"Jeffrey Berkowitz, J.D.",WALGREENS BOOTS ALLIANCE INC,2015,Voluntary,0.27198,1
Marco Patrick Pagni,WALGREENS BOOTS ALLIANCE INC,2021,Voluntary,0.84134,0
Marco Patrick Pagni,WALGREENS BOOTS ALLIANCE INC,2021,Voluntary,0.60234,1
"Donald Morel, Jr.",WEST PHARMACEUTICAL SVSC INC,2015,Voluntary,0.92446,0
"Donald Morel, Jr.",WEST PHARMACEUTICAL SVSC INC,2015,Voluntary,0.73876,1
William Federici,WEST PHARMACEUTICAL SVSC INC,2018,Voluntary,0.79598,0
William Federici,WEST PHARMACEUTICAL SVSC INC,2018,Voluntary,0.9966,1
George Miller,WEST PHARMACEUTICAL SVSC INC,2020,Voluntary,0.86286,0
George Miller,WEST PHARMACEUTICAL SVSC INC,2020,Voluntary,0.79402,1
Timothy Leyden,WESTERN DIGITAL CORP,2015,Voluntary,0.92254,0
Timothy Leyden,WESTERN DIGITAL CORP,2015,Voluntary,0.58062,1
"Michael Ray, Ph.D.",WESTERN DIGITAL CORP,2017,Voluntary,0.93338,0
"Michael Ray, Ph.D.",WESTERN DIGITAL CORP,2017,Voluntary,0.5841,1
Mark Long,WESTERN DIGITAL CORP,2019,Voluntary,0.89098,0
Mark Long,WESTERN DIGITAL CORP,2019,Voluntary,0.41082,1
Michael Cordano,WESTERN DIGITAL CORP,2020,Voluntary,0.98714,0
Michael Cordano,WESTERN DIGITAL CORP,2020,Voluntary,0.7454,1
Robert K. Eulau,WESTERN DIGITAL CORP,2022,Voluntary,0.99718,0
Robert K. Eulau,WESTERN DIGITAL CORP,2022,Voluntary,0.74254,1
Joao Costa Brega,WHIRLPOOL CORP,2022,Voluntary,0.4264,0
Joao Costa Brega,WHIRLPOOL CORP,2022,Voluntary,0.79904,1
Donald Chappel,WILLIAMS COS INC,2017,Voluntary,0.7652,0
Donald Chappel,WILLIAMS COS INC,2017,Voluntary,0.79796,1
Walter Bennett,WILLIAMS COS INC,2021,Voluntary,0.94216,0
Walter Bennett,WILLIAMS COS INC,2021,Voluntary,0.98044,1
Joseph Fletcher,WEC ENERGY GROUP INC,2022,Voluntary,0.57434,0
Joseph Fletcher,WEC ENERGY GROUP INC,2022,Voluntary,0.98114,1
Patricia Kampling,ALLIANT ENERGY CORP,2019,Voluntary,0.98002,0
Patricia Kampling,ALLIANT ENERGY CORP,2019,Voluntary,0.78,1
Edward Bernard,PRICE (T. ROWE) GROUP,2018,Voluntary,0.2742,0
Edward Bernard,PRICE (T. ROWE) GROUP,2018,Voluntary,0.99058,1
Celine Dufetel,PRICE (T. ROWE) GROUP,2021,Voluntary,0.92236,0
Celine Dufetel,PRICE (T. ROWE) GROUP,2021,Voluntary,0.66554,1
Brian Turner,MICROSOFT CORP,2016,Voluntary,0.96546,0
Brian Turner,MICROSOFT CORP,2016,Voluntary,0.7783,1
Margaret Johnson,MICROSOFT CORP,2020,Voluntary,0.27948,0
Margaret Johnson,MICROSOFT CORP,2020,Voluntary,0.6855,1
Jeffrey Henley,ORACLE CORP,2019,Voluntary,0.82914,0
Jeffrey Henley,ORACLE CORP,2019,Voluntary,0.9367,1
"Jeffery Yabuki, B.S., CPA",FISERV INC,2020,Voluntary,0.98688,0
"Jeffery Yabuki, B.S., CPA",FISERV INC,2020,Voluntary,0.96318,1
Paul Gallagher,HEALTHPEAK PROPERTIES INC,2015,Voluntary,0.77626,0
Paul Gallagher,HEALTHPEAK PROPERTIES INC,2015,Voluntary,0.59852,1
Lauralee Martin,HEALTHPEAK PROPERTIES INC,2016,Voluntary,0.37298,0
Lauralee Martin,HEALTHPEAK PROPERTIES INC,2016,Voluntary,0.7652,1
Michael McKee,HEALTHPEAK PROPERTIES INC,2018,Voluntary,0.88802,0
Michael McKee,HEALTHPEAK PROPERTIES INC,2018,Voluntary,0.34574,1
Remi Kent,PROGRESSIVE CORP-OHIO,2021,Voluntary,0.99886,0
Remi Kent,PROGRESSIVE CORP-OHIO,2021,Voluntary,0.96152,1
Christopher Clark,DENTSPLY SIRONA INC,2017,Voluntary,0.19278,0
Christopher Clark,DENTSPLY SIRONA INC,2017,Voluntary,0.98328,1
Mark Thierer,DENTSPLY SIRONA INC,2018,Voluntary,0.77196,0
Mark Thierer,DENTSPLY SIRONA INC,2018,Voluntary,0.59964,1
William Newell,DENTSPLY SIRONA INC,2020,Voluntary,0.55656,0
William Newell,DENTSPLY SIRONA INC,2020,Voluntary,0.0201,1
"Donald Casey, Jr.",DENTSPLY SIRONA INC,2022,Involuntary,0.36716,0
"Donald Casey, Jr.",DENTSPLY SIRONA INC,2022,Voluntary,-0.11014,1
Cord Staehler,DENTSPLY SIRONA INC,2022,Voluntary,0.99966,0
Cord Staehler,DENTSPLY SIRONA INC,2022,Voluntary,0.58874,1
Jonathan Anschell,PARAMOUNT GLOBAL,2018,Voluntary,0.7594,0
Jonathan Anschell,PARAMOUNT GLOBAL,2018,Voluntary,0.0993,1
Christina Spade,PARAMOUNT GLOBAL,2020,Voluntary,0.50936,0
Christina Spade,PARAMOUNT GLOBAL,2020,Voluntary,0.98174,1
Glenn David,ZOETIS INC,2022,Voluntary,0.91076,0
Glenn David,ZOETIS INC,2022,Involuntary,-0.01152,1
Gary Polipnick,FASTENAL CO,2015,Voluntary,0.89402,0
Gary Polipnick,FASTENAL CO,2015,Voluntary,0.68114,1
William Drazkowski,FASTENAL CO,2021,Voluntary,0.99606,0
William Drazkowski,FASTENAL CO,2021,Voluntary,0.79826,1
Diana Reardon,AMPHENOL CORP,2015,Voluntary,0.87942,0
Diana Reardon,AMPHENOL CORP,2015,Voluntary,0.76388,1
Yaobin Gu,AMPHENOL CORP,2020,Voluntary,0.94134,0
Yaobin Gu,AMPHENOL CORP,2020,Voluntary,0.59934,1
Daniel D'Arrigo,MGM RESORTS INTERNATIONAL,2019,Voluntary,0.92628,0
Daniel D'Arrigo,MGM RESORTS INTERNATIONAL,2019,Voluntary,0.9822,1
James Murren,MGM RESORTS INTERNATIONAL,2020,Involuntary,0.98788,0
James Murren,MGM RESORTS INTERNATIONAL,2020,Voluntary,0.99464,1
Tilak Mandadi,MGM RESORTS INTERNATIONAL,2021,Voluntary,0.97998,0
Tilak Mandadi,MGM RESORTS INTERNATIONAL,2021,Voluntary,0.37774,1
Jeff Harris,WASTE MANAGEMENT INC,2018,Voluntary,0.579,0
Jeff Harris,WASTE MANAGEMENT INC,2018,Voluntary,0.9804,1
"James Moffett, Jr.",FREEPORT-MCMORAN INC,2015,Voluntary,0.7069,0
"James Moffett, Jr.",FREEPORT-MCMORAN INC,2015,Voluntary,0.38708,1
"Matthew Ricciardi, Esq.",BERKLEY (W R) CORP,2015,Voluntary,0.92556,0
"Matthew Ricciardi, Esq.",BERKLEY (W R) CORP,2015,Voluntary,0.9613,1
"Martin Mullen, AIM, C.P.C.U",CINCINNATI FINANCIAL CORP,2020,Voluntary,-0.92806,0
"Martin Mullen, AIM, C.P.C.U",CINCINNATI FINANCIAL CORP,2020,Voluntary,-0.35452,1
Darryl Smette,DEVON ENERGY CORP,2015,Voluntary,0.52038,0
Darryl Smette,DEVON ENERGY CORP,2015,Voluntary,0.96986,1
R. Marcum,DEVON ENERGY CORP,2018,Voluntary,0.7943,0
R. Marcum,DEVON ENERGY CORP,2018,Voluntary,0.79568,1
Lance Berberian,LABCORP HOLDINGS INC,2016,Voluntary,0.95738,0
Lance Berberian,LABCORP HOLDINGS INC,2016,Voluntary,0.54872,1
Jay Browning,VALERO ENERGY CORP,2018,Voluntary,0.99224,0
Jay Browning,VALERO ENERGY CORP,2018,Voluntary,0.93312,1
Daniel Salliotte,IDEX CORP,2021,Voluntary,0.74144,0
Daniel Salliotte,IDEX CORP,2021,Voluntary,0.8786,1
"Charles Lydecker, AIM, CIC,",BROWN & BROWN INC,2015,Voluntary,0.77422,0
"Charles Lydecker, AIM, CIC,",BROWN & BROWN INC,2015,Voluntary,0.95894,1
Anthony Strianese,BROWN & BROWN INC,2020,Voluntary,0.79358,0
Anthony Strianese,BROWN & BROWN INC,2020,Voluntary,0.13552,1
Michael Brown,GEN DIGITAL INC,2016,Voluntary,0.59438,0
Michael Brown,GEN DIGITAL INC,2016,Voluntary,0.73596,1
"Nicholas Noviello, CPA",NETAPP INC,2015,Voluntary,0.76283,0
"Nicholas Noviello, CPA",NETAPP INC,2015,Voluntary,0.82886,1
Henry Gosebruch,ABBVIE INC,2016,Voluntary,0.28246,0
Henry Gosebruch,ABBVIE INC,2016,Voluntary,0.96958,1
Gary Thomas,EOG RESOURCES INC,2018,Voluntary,0.9453,0
Gary Thomas,EOG RESOURCES INC,2018,Voluntary,0.79846,1
Blake Jorgensen,ELECTRONIC ARTS INC,2021,Voluntary,0.9693,0
Blake Jorgensen,ELECTRONIC ARTS INC,2021,Voluntary,0.78886,1
Christopher Bruzzo,ELECTRONIC ARTS INC,2022,Voluntary,0.8668,0
Christopher Bruzzo,ELECTRONIC ARTS INC,2022,Voluntary,0.9724,1
Stephen Farber,KINDRED HEALTHCARE INC,2017,Voluntary,0.1386,0
Stephen Farber,KINDRED HEALTHCARE INC,2017,Voluntary,0.45878,1
Benjamin Breier,KINDRED HEALTHCARE INC,2017,Voluntary,0.71002,0
Benjamin Breier,KINDRED HEALTHCARE INC,2017,Voluntary,0.96558,1
"J. Carter, II",T-MOBILE US INC,2020,Voluntary,0.77426,0
"J. Carter, II",T-MOBILE US INC,2020,Voluntary,0.74512,1
David Miller,T-MOBILE US INC,2021,Voluntary,0.75132,0
David Miller,T-MOBILE US INC,2021,Voluntary,0.91084,1
"Dennis Gillings, CBE, FMEDS",IQVIA HOLDINGS INC,2015,Voluntary,0.98484,0
"Dennis Gillings, CBE, FMEDS",IQVIA HOLDINGS INC,2015,Voluntary,0.45212,1
Gerson Zweifach,NEWS CORP,2015,Voluntary,0.40716,0
Gerson Zweifach,NEWS CORP,2015,Involuntary,0.1477,1
Jeffrey Glidden,PTC INC,2015,Voluntary,0.97078,0
Jeffrey Glidden,PTC INC,2015,Voluntary,0.46462,1
Robert Gremley,PTC INC,2017,Voluntary,0.4279,0
Robert Gremley,PTC INC,2017,Voluntary,0.99108,1
Barry Cohen,PTC INC,2019,Voluntary,0.79,0
Barry Cohen,PTC INC,2019,Voluntary,0.5974,1
Kathleen Mitford,PTC INC,2021,Voluntary,0.94526,0
Kathleen Mitford,PTC INC,2021,Voluntary,0.87936,1
Catherine Kniker,PTC INC,2022,Voluntary,0.99832,0
Catherine Kniker,PTC INC,2022,Voluntary,0.99578,1
"William Kerber, III",PAYCOM SOFTWARE INC,2017,Voluntary,0.92012,0
"William Kerber, III",PAYCOM SOFTWARE INC,2017,Voluntary,0.77562,1
Justin Long,PAYCOM SOFTWARE INC,2022,Voluntary,0.59774,0
Justin Long,PAYCOM SOFTWARE INC,2022,Voluntary,0.68948,1
Stephen Leonard,CATALENT INC,2016,Voluntary,0.5043,0
Stephen Leonard,CATALENT INC,2016,Voluntary,0.71202,1
Barry Littlejohns,CATALENT INC,2017,Voluntary,0.99492,0
Barry Littlejohns,CATALENT INC,2017,Voluntary,0.96106,1
Matthew Walsh,CATALENT INC,2018,Voluntary,0.93282,0
Matthew Walsh,CATALENT INC,2018,Voluntary,0.9881,1
Wetteny Joseph,CATALENT INC,2021,Voluntary,0.9549,0
Wetteny Joseph,CATALENT INC,2021,Voluntary,0.98608,1
Guy Sn,KEYSIGHT TECHNOLOGIES INC,2016,Voluntary,0.89262,0
Guy Sn,KEYSIGHT TECHNOLOGIES INC,2016,Voluntary,0.79218,1
Steven Lindeman,COTERRA ENERGY INC,2021,Voluntary,0.98842,0
Steven Lindeman,COTERRA ENERGY INC,2021,Voluntary,0.99634,1
"Jonathan Mothner, Esq.",SYNCHRONY FINANCIAL,2017,Voluntary,0.96004,0
"Jonathan Mothner, Esq.",SYNCHRONY FINANCIAL,2017,Voluntary,0.85928,1
Margaret Keane,SYNCHRONY FINANCIAL,2022,Voluntary,0.79178,0
Margaret Keane,SYNCHRONY FINANCIAL,2022,Voluntary,0.9851,1
Mark Smith,ARISTA NETWORKS INC,2015,Voluntary,0.99194,0
Mark Smith,ARISTA NETWORKS INC,2015,Voluntary,0.9759,1
John McCool,ARISTA NETWORKS INC,2017,Voluntary,0.65794,0
John McCool,ARISTA NETWORKS INC,2017,Voluntary,0.9628,1
Frank Calderoni,CISCO SYSTEMS INC,2015,Voluntary,0.5934,0
Frank Calderoni,CISCO SYSTEMS INC,2015,Voluntary,0.80476,1
Robert Lloyd,CISCO SYSTEMS INC,2015,Voluntary,0.96414,0
Robert Lloyd,CISCO SYSTEMS INC,2015,Voluntary,0.8564,1
Rebecca Jacoby,CISCO SYSTEMS INC,2017,Voluntary,0.8978,0
Rebecca Jacoby,CISCO SYSTEMS INC,2017,Voluntary,0.45086,1
Geraldine Elliott,CISCO SYSTEMS INC,2022,Voluntary,0.59136,0
Geraldine Elliott,CISCO SYSTEMS INC,2022,Voluntary,0.32232,1
"Peter Valenti, III",HOLOGIC INC,2020,Voluntary,0.80384,0
"Peter Valenti, III",HOLOGIC INC,2020,Voluntary,0.87634,1
James Veneziano,TRIMBLE INC,2015,Voluntary,0.49036,0
James Veneziano,TRIMBLE INC,2015,Voluntary,0.9829,1
Bryn Fosburgh,TRIMBLE INC,2019,Voluntary,0.99238,0
Bryn Fosburgh,TRIMBLE INC,2019,Voluntary,0.9516,1
Kristina Salen,ETSY INC,2017,Voluntary,0.98298,0
Kristina Salen,ETSY INC,2017,Voluntary,0.49518,1
Michael Fisher,ETSY INC,2022,Voluntary,0.78782,0
Michael Fisher,ETSY INC,2022,Voluntary,0.92196,1
Manuel Prez Dubuc,AES CORP (THE),2018,Voluntary,0.67206,0
Manuel Prez Dubuc,AES CORP (THE),2018,Voluntary,0.55844,1
"Thomas Graney, C.F.A.",VERTEX PHARMACEUTICALS INC,2018,Voluntary,0.30526,0
"Thomas Graney, C.F.A.",VERTEX PHARMACEUTICALS INC,2018,Voluntary,0.91658,1
"Ian Smith, A.C.A., C.P.A",VERTEX PHARMACEUTICALS INC,2019,Involuntary,0.67858,0
"Ian Smith, A.C.A., C.P.A",VERTEX PHARMACEUTICALS INC,2019,Voluntary,0.79448,1
"Ourania Tatsis, Ph.D.",VERTEX PHARMACEUTICALS INC,2021,Voluntary,0.74016,0
"Ourania Tatsis, Ph.D.",VERTEX PHARMACEUTICALS INC,2021,Voluntary,0.99562,1
Michael Smiley,ZEBRA TECHNOLOGIES CP  -CL A,2016,Voluntary,0.96122,0
Michael Smiley,ZEBRA TECHNOLOGIES CP  -CL A,2016,Voluntary,0.86858,1
Hugh Gagnier,ZEBRA TECHNOLOGIES CP  -CL A,2017,Voluntary,0.86902,0
Hugh Gagnier,ZEBRA TECHNOLOGIES CP  -CL A,2017,Voluntary,0.9452,1
Brian Modoff,QUALCOMM INC,2016,Voluntary,0.9838,0
Brian Modoff,QUALCOMM INC,2016,Voluntary,0.98284,1
"Donald Rosenberg, Esq.",QUALCOMM INC,2018,Voluntary,-0.04644,0
"Donald Rosenberg, Esq.",QUALCOMM INC,2018,Voluntary,0.9606,1
Steven Mollenkopf,QUALCOMM INC,2021,Voluntary,0.90826,0
Steven Mollenkopf,QUALCOMM INC,2021,Voluntary,0.0365,1
"Norbert Bischofberger, Ph.D.",GILEAD SCIENCES INC,2017,Voluntary,0.678,0
"Norbert Bischofberger, Ph.D.",GILEAD SCIENCES INC,2017,Voluntary,0.97476,1
"Gregg Alton, J.D.",GILEAD SCIENCES INC,2019,Voluntary,0.82376,0
"Gregg Alton, J.D.",GILEAD SCIENCES INC,2019,Voluntary,0.98606,1
Christian Bruch,LINDE PLC,2019,Voluntary,0.96688,0
Christian Bruch,LINDE PLC,2019,Voluntary,0.6624,1
