exec_name,company,end_year,ticker,avg_close_before,avg_close_after,price_change,percent_change,volatility_before,volatility_after,volatility_change,avg_close_before_3mo,avg_close_after_3mo,price_change_3mo,percent_change_3mo,volatility_before_3mo,volatility_after_3mo,volatility_change_3mo,avg_close_before_1mo,avg_close_after_1mo,price_change_1mo,percent_change_1mo,volatility_before_1mo,volatility_after_1mo,volatility_change_1mo,tic,execid,start_year,end_month,tenure_len
Muhtar Kent,COCA-COLA CO,2018,KO,45.22,50.34,5.12,11.32,1.93,3.16,1.23,47.13,47.59,0.46,0.98,1.71,1.5,-0.21,49.35,48.38,-0.97,-1.97,0.71,1.11,0.4,KO,30847,2006,12,13
Reuben Mark,COLGATE-PALMOLIVE CO,2007,CL,32.25,36.8,4.55,14.11,1.44,2.21,0.77,33.36,33.77,0.41,1.23,0.4,0.86,0.46,33.13,33.71,0.58,1.75,0.48,0.63,0.15,CL,229,2000,7,8
Ian Cook,COLGATE-PALMOLIVE CO,2019,CL,65.44,69.81,4.37,6.68,3.42,2.71,-0.71,61.98,67.18,5.2,8.39,1.66,1.76,0.1,61.77,65.96,4.19,6.78,1.49,0.62,-0.87,CL,23250,2000,2,20
Dennis Mahoney,AON PLC,2005,AON,25.58,27.68,2.1,8.21,2.5,4.97,2.47,22.54,23.4,0.86,3.82,2.63,0.97,-1.66,22.85,22.65,-0.2,-0.88,0.66,0.56,-0.1,AON,6081,2004,1,2
Dirk Verbeek,AON PLC,2005,AON,25.58,27.68,2.1,8.21,2.5,4.97,2.47,22.54,23.4,0.86,3.82,2.63,0.97,-1.66,22.85,22.65,-0.2,-0.88,0.66,0.56,-0.1,AON,28163,2004,1,2
Donald Ingram,AON PLC,2004,AON,22.06,25.58,3.52,15.96,1.92,2.5,0.58,21.96,25.74,3.78,17.21,0.77,1.3,0.53,22.84,24.36,1.52,6.65,0.6,0.38,-0.22,AON,28164,2004,1,1
Stephen McGill,AON PLC,2017,AON,105.41,130.99,25.58,24.27,7.72,11.72,4.0,111.45,115.39,3.94,3.54,1.69,2.32,0.63,112.46,112.81,0.35,0.31,0.95,0.79,-0.16,AON,32607,2007,1,11
Richard Ravin,AON PLC,2007,AON,36.26,42.05,5.79,15.97,2.7,3.93,1.23,35.31,37.1,1.79,5.07,0.81,1.37,0.56,36.12,35.47,-0.65,-1.8,0.53,0.35,-0.18,AON,32608,2007,1,1
Baljit Dail,AON PLC,2010,AON,39.34,40.09,0.75,1.91,1.96,2.44,0.48,39.51,40.2,0.69,1.75,1.22,1.71,0.49,38.27,38.24,-0.03,-0.08,0.42,0.55,0.13,AON,39833,2009,1,2
Russell Fradin,AON PLC,2010,AON,39.34,40.09,0.75,1.91,1.96,2.44,0.48,39.51,40.2,0.69,1.75,1.22,1.71,0.49,38.27,38.24,-0.03,-0.08,0.42,0.55,0.13,AON,13960,2010,1,1
Michael O'Connor,AON PLC,2019,AON,145.65,183.84,38.19,26.22,7.73,15.41,7.68,155.3,162.32,7.02,4.52,7.07,9.72,2.65,151.14,150.69,-0.45,-0.3,8.1,5.76,-2.34,AON,41145,2010,1,10
John Bruno,AON PLC,2020,AON,183.84,198.74,14.9,8.1,15.41,16.29,0.88,198.0,203.93,5.93,2.99,7.07,26.33,19.26,206.11,211.4,5.29,2.57,2.56,3.95,1.39,AON,28053,2019,1,2
David Watson,COMCAST CORP,2022,CMCSA,54.81,40.32,-14.49,-26.44,3.23,6.3,3.07,52.12,48.16,-3.96,-7.6,2.42,1.83,-0.59,49.57,50.17,0.6,1.21,1.3,0.84,-0.46,CMCSA,54909,2017,1,6
Jeffrey Shell,COMCAST CORP,2022,CMCSA,54.81,40.32,-14.49,-26.44,3.23,6.3,3.07,52.12,48.16,-3.96,-7.6,2.42,1.83,-0.59,49.57,50.17,0.6,1.21,1.3,0.84,-0.46,CMCSA,59771,2020,1,3
Dana Strong,COMCAST CORP,2022,CMCSA,54.81,40.32,-14.49,-26.44,3.23,6.3,3.07,52.12,48.16,-3.96,-7.6,2.42,1.83,-0.59,49.57,50.17,0.6,1.21,1.3,0.84,-0.46,CMCSA,61770,2021,1,2
Ralph Babb,COMERICA INC,2019,CMA,87.81,65.92,-21.89,-24.93,9.31,10.7,1.39,80.16,74.25,-5.91,-7.37,5.46,3.53,-1.93,79.71,78.09,-1.62,-2.03,5.33,0.95,-4.38,CMA,5070,2000,4,20
Deryck Maughan,CITIGROUP INC,2002,C,488.91,398.73,-90.18,-18.45,38.44,68.1,29.66,475.42,477.18,1.76,0.37,23.47,25.39,1.92,489.65,493.91,4.26,0.87,13.5,14.04,0.54,C,1268,2000,1,3
Michael Carpenter,CITIGROUP INC,2001,C,480.5,488.91,8.41,1.75,54.04,38.44,-15.6,509.18,510.28,1.1,0.22,22.25,43.03,20.78,503.19,545.05,41.86,8.32,15.5,14.11,-1.39,C,16267,2000,1,2
Victor Menezes,CITIGROUP INC,2001,C,480.5,488.91,8.41,1.75,54.04,38.44,-15.6,509.18,510.28,1.1,0.22,22.25,43.03,20.78,503.19,545.05,41.86,8.32,15.5,14.11,-1.39,C,20873,2000,1,2
Charles Prince,CITIGROUP INC,2007,C,489.27,477.82,-11.45,-2.34,19.85,75.2,55.35,512.99,528.58,15.59,3.04,18.79,19.92,1.13,533.05,545.82,12.77,2.4,22.12,3.65,-18.47,C,24398,2000,1,8
Sallie Krawcheck,CITIGROUP INC,2007,C,489.27,477.82,-11.45,-2.34,19.85,75.2,55.35,512.99,528.58,15.59,3.04,18.79,19.92,1.13,533.05,545.82,12.77,2.4,22.12,3.65,-18.47,C,25973,2002,1,6
Vikram Pandit,CITIGROUP INC,2012,C,29.99,44.78,14.79,49.32,3.41,5.68,2.27,29.32,36.73,7.41,25.27,2.78,1.7,-1.08,32.82,36.24,3.42,10.42,1.43,1.54,0.11,C,18214,2007,10,6
Michael Klein,CITIGROUP INC,2007,C,489.27,477.82,-11.45,-2.34,19.85,75.2,55.35,512.99,528.58,15.59,3.04,18.79,19.92,1.13,533.05,545.82,12.77,2.4,22.12,3.65,-18.47,C,32514,2007,1,1
Ajaypal Banga,CITIGROUP INC,2008,C,477.82,190.49,-287.33,-60.13,75.2,61.45,-13.75,370.82,249.27,-121.55,-32.78,65.18,28.67,-36.51,315.18,274.24,-40.94,-12.99,17.89,14.48,-3.41,C,35245,2008,1,1
Alberto Verme,CITIGROUP INC,2009,C,190.49,36.57,-153.92,-80.8,61.45,10.0,-51.45,107.59,32.86,-74.73,-69.46,42.66,16.18,-26.48,73.61,48.84,-24.77,-33.65,6.59,16.76,10.17,C,36819,2009,1,1
Manuel Medina-Mora Escalant,CITIGROUP INC,2014,C,48.26,50.19,1.93,4.0,3.47,2.63,-0.84,50.61,49.78,-0.83,-1.64,1.48,2.33,0.85,51.76,52.0,0.24,0.46,0.63,2.51,1.88,C,36820,2009,1,6
Michael Corbat,CITIGROUP INC,2021,C,53.73,69.29,15.56,28.96,11.92,4.84,-7.08,50.83,66.86,16.03,31.54,7.32,4.84,-2.48,59.38,62.97,3.59,6.05,1.6,3.15,1.55,C,40812,2010,1,12
Eugene McQuade,CITIGROUP INC,2012,C,37.36,32.18,-5.18,-13.87,8.46,4.0,-4.46,27.84,32.86,5.02,18.03,2.47,2.77,0.3,27.2,29.81,2.61,9.6,1.4,1.1,-0.3,C,2616,2012,1,1
Stephen Bird,CITIGROUP INC,2019,C,65.26,57.19,-8.07,-12.37,4.85,14.34,9.49,67.62,77.14,9.52,14.08,3.29,2.42,-0.87,70.16,74.9,4.74,6.76,2.35,0.72,-1.63,C,48578,2015,11,5
Ernesto Cantu,CITIGROUP INC,2021,C,53.73,69.29,15.56,28.96,11.92,4.84,-7.08,50.83,66.86,16.03,31.54,7.32,4.84,-2.48,59.38,62.97,3.59,6.05,1.6,3.15,1.55,C,61050,2021,1,1
Peter Babej,CITIGROUP INC,2022,C,69.29,51.61,-17.68,-25.52,4.84,6.89,2.05,66.49,61.62,-4.87,-7.32,4.48,4.77,0.29,60.98,64.99,4.01,6.58,1.38,1.52,0.14,C,61051,2021,1,2
Bruce Rohde,CONAGRA BRANDS INC,2005,CAG,21.07,19.33,-1.74,-8.26,0.77,2.06,1.29,21.08,22.01,0.93,4.41,0.77,0.79,0.02,21.71,22.83,1.12,5.16,0.69,0.29,-0.4,CAG,13734,2000,1,6
Kevin Burke,CONSOLIDATED EDISON INC,2013,ED,58.49,55.68,-2.81,-4.8,2.22,1.43,-0.79,58.16,56.47,-1.69,-2.91,1.54,1.29,-0.25,57.93,55.6,-2.33,-4.02,1.87,0.6,-1.27,ED,21287,2000,9,14
John McAvoy,CONSOLIDATED EDISON INC,2020,ED,83.38,74.89,-8.49,-10.18,8.22,3.84,-4.38,73.86,78.28,4.42,5.98,1.89,3.34,1.45,73.43,74.42,0.99,1.35,1.55,1.93,0.38,ED,45701,2013,9,8
William McCormick,CMS ENERGY CORP,2002,CMS,26.41,14.52,-11.89,-45.02,3.41,6.29,2.88,22.28,22.82,0.54,2.42,1.1,0.84,-0.26,23.35,23.69,0.34,1.46,0.6,0.46,-0.14,CMS,223,2000,1,3
Tamela Pallas,CMS ENERGY CORP,2001,CMS,24.34,26.41,2.07,8.5,4.15,3.41,-0.74,27.84,29.37,1.53,5.5,1.15,0.92,-0.23,28.75,28.65,-0.1,-0.35,1.34,0.94,-0.4,CMS,21428,2000,1,2
Bradley Fischer,CMS ENERGY CORP,2002,CMS,26.41,14.52,-11.89,-45.02,3.41,6.29,2.88,22.28,22.82,0.54,2.42,1.1,0.84,-0.26,23.35,23.69,0.34,1.46,0.6,0.46,-0.14,CMS,23388,2000,1,3
Christopher Helms,CMS ENERGY CORP,2002,CMS,26.41,14.52,-11.89,-45.02,3.41,6.29,2.88,22.28,22.82,0.54,2.42,1.1,0.84,-0.26,23.35,23.69,0.34,1.46,0.6,0.46,-0.14,CMS,23389,2000,1,3
Kenneth Whipple,CMS ENERGY CORP,2004,CMS,8.67,12.73,4.06,46.83,0.56,2.38,1.82,9.17,9.86,0.69,7.52,0.31,0.49,0.18,9.52,9.23,-0.29,-3.05,0.1,0.15,0.05,CMS,2669,2002,10,3
John Russell,CMS ENERGY CORP,2016,CMS,34.61,41.46,6.85,19.79,1.43,2.18,0.75,35.65,39.22,3.57,10.01,0.68,2.07,1.39,35.58,36.63,1.05,2.95,0.65,0.99,0.34,CMS,28223,2002,1,15
Patricia Poppe,CMS ENERGY CORP,2020,CMS,61.38,60.85,-0.53,-0.86,3.62,2.77,-0.85,62.17,60.46,-1.71,-2.75,1.85,2.79,0.94,64.22,63.7,-0.52,-0.81,1.38,2.03,0.65,CMS,47256,2014,11,7
A. Bender,COOPER COS INC (THE),2007,COO,12.42,11.52,-0.9,-7.25,1.09,1.82,0.73,11.84,13.08,1.24,10.47,0.41,0.51,0.1,11.77,12.51,0.74,6.29,0.3,0.18,-0.12,COO,14292,2000,4,8
Nicholas Pichotta,COOPER COS INC (THE),2011,COO,10.65,17.44,6.79,63.76,1.58,1.81,0.23,13.06,15.5,2.44,18.68,0.87,1.22,0.35,14.13,14.28,0.15,1.06,0.42,0.16,-0.26,COO,14294,2000,1,12
Robert Weiss,COOPER COS INC (THE),2018,COO,57.22,62.68,5.46,9.54,4.39,4.61,0.22,57.73,57.32,-0.41,-0.71,1.76,1.68,-0.08,57.72,58.52,0.8,1.39,1.2,2.12,0.92,COO,14296,2000,3,19
Robert Auerbach,COOPER COS INC (THE),2020,COO,77.88,88.74,10.86,13.94,6.0,8.97,2.97,74.12,76.92,2.8,3.78,2.93,4.91,1.98,74.41,71.75,-2.66,-3.57,3.92,1.02,-2.9,COO,40814,2010,7,11
W. Kiely,MOLSON COORS BEVERAGE CO,2008,TAP,46.84,49.83,2.99,6.38,4.68,5.75,1.07,53.41,50.12,-3.29,-6.16,2.02,3.37,1.35,52.87,47.82,-5.05,-9.55,1.5,2.87,1.37,TAP,2140,2000,1,9
Peter Kendall,MOLSON COORS BEVERAGE CO,2004,TAP,26.68,33.69,7.01,26.27,2.07,2.43,0.36,27.91,31.18,3.27,11.72,0.51,2.74,2.23,28.07,27.67,-0.4,-1.43,0.41,0.47,0.06,TAP,16615,2000,1,5
Peter Swinburn,MOLSON COORS BEVERAGE CO,2014,TAP,55.98,74.2,18.22,32.55,6.1,2.19,-3.91,64.43,72.95,8.52,13.22,5.47,2.31,-3.16,70.91,71.94,1.03,1.45,3.35,1.87,-1.48,TAP,27976,2002,7,13
Kevin Boyce,MOLSON COORS BEVERAGE CO,2009,TAP,44.26,44.73,0.47,1.06,7.12,2.61,-4.51,37.37,44.64,7.27,19.45,3.93,1.54,-2.39,42.51,43.89,1.38,3.25,1.65,1.5,-0.15,TAP,29790,2005,6,5
Frits van Paasschen,MOLSON COORS BEVERAGE CO,2006,TAP,33.39,34.15,0.76,2.28,2.94,1.53,-1.41,32.35,32.91,0.56,1.73,1.14,1.39,0.25,33.1,32.8,-0.3,-0.91,0.32,1.27,0.95,TAP,29791,2005,1,2
Stewart Glendinning,MOLSON COORS BEVERAGE CO,2015,TAP,67.0,78.11,11.11,16.58,8.06,7.94,-0.12,74.16,75.35,1.19,1.6,2.2,1.7,-0.5,74.63,76.19,1.56,2.09,1.64,1.66,0.02,TAP,35316,2008,1,8
Mark Hunter,MOLSON COORS BEVERAGE CO,2019,TAP,61.95,49.68,-12.27,-19.81,3.85,7.18,3.33,58.37,54.25,-4.12,-7.06,2.7,2.34,-0.36,55.46,55.39,-0.07,-0.13,1.22,1.29,0.07,TAP,35317,2008,7,12
David Perkins,MOLSON COORS BEVERAGE CO,2011,TAP,45.0,44.09,-0.91,-2.02,2.84,2.71,-0.13,48.98,46.18,-2.8,-5.72,1.12,1.8,0.68,49.94,48.0,-1.94,-3.88,0.8,0.75,-0.05,TAP,27501,2009,1,3
Simon Cox,MOLSON COORS BEVERAGE CO,2021,TAP,49.55,51.33,1.78,3.59,4.8,3.72,-1.08,47.0,47.15,0.15,0.32,1.89,1.94,0.05,45.56,46.54,0.98,2.15,1.44,1.26,-0.18,TAP,56375,2018,11,4
John Loose,CORNING INC,2002,GLW,20.91,4.68,-16.23,-77.62,14.75,2.53,-12.22,8.76,7.99,-0.77,-8.79,0.84,1.15,0.31,9.11,9.11,0.0,0.0,0.7,1.03,0.33,GLW,12452,2000,1,3
Peter Volanakis,CORNING INC,2010,GLW,17.43,19.17,1.74,9.98,1.71,1.8,0.09,18.5,17.29,-1.21,-6.54,1.41,0.95,-0.46,17.46,17.42,-0.04,-0.23,0.86,0.58,-0.28,GLW,23029,2000,7,11
James Clappin,CORNING INC,2020,GLW,30.93,28.84,-2.09,-6.76,2.47,5.55,3.08,29.02,25.97,-3.05,-10.51,0.83,3.7,2.87,28.58,29.4,0.82,2.87,0.47,0.97,0.5,GLW,46857,2014,1,7
Jean Blackwell,CUMMINS INC,2008,CMI,49.8,51.02,1.22,2.45,12.09,16.21,4.12,61.89,50.18,-11.71,-18.92,4.89,3.78,-1.11,61.29,50.34,-10.95,-17.87,2.37,5.78,3.41,CMI,25915,2001,1,8
George Sherman,DANAHER CORP,2001,DHR,8.65,9.82,1.17,13.53,1.29,0.77,-0.52,10.22,10.42,0.2,1.96,0.95,0.57,-0.38,11.08,10.63,-0.45,-4.06,0.37,0.34,-0.03,DHR,275,2000,1,2
Robert Ulrich,TARGET CORP,2008,TGT,61.0,47.52,-13.48,-22.1,3.68,7.58,3.9,58.33,52.03,-6.3,-10.8,4.99,1.89,-3.1,53.42,51.41,-2.01,-3.76,3.19,2.34,-0.85,TGT,2235,2000,1,9
Gregg Steinhafel,TARGET CORP,2014,TGT,64.55,67.7,3.15,4.88,4.62,8.89,4.27,59.38,58.6,-0.78,-1.31,2.05,1.54,-0.51,60.68,57.9,-2.78,-4.58,0.94,1.75,0.81,TGT,6031,2000,5,15
Samuel Allen,DEERE & CO,2020,DE,163.41,207.48,44.07,26.97,9.73,60.45,50.72,169.83,138.69,-31.14,-18.34,5.37,11.5,6.13,167.0,137.97,-29.03,-17.38,4.93,17.07,12.14,DE,30715,2004,3,17
Marc Howze,DEERE & CO,2022,DE,350.57,374.96,24.39,6.96,24.25,38.31,14.06,347.91,383.73,35.82,10.3,8.94,22.56,13.62,349.71,373.56,23.85,6.82,6.46,7.63,1.17,DE,60872,2021,1,2
Gerard Anderson,DTE ENERGY CO,2020,DTE,98.55,112.46,13.91,14.11,10.78,6.27,-4.51,103.58,103.42,-0.16,-0.15,5.33,2.09,-3.24,109.91,104.46,-5.45,-4.96,2.56,2.6,0.04,DTE,14626,2000,12,21
Michael Eisner,DISNEY (WALT) CO,2005,DIS,24.38,25.95,1.57,6.44,1.63,1.71,0.08,25.93,28.04,2.11,8.14,1.28,0.64,-0.64,27.22,27.66,0.44,1.62,0.22,0.55,0.33,DIS,295,2000,1,6
Thos. Capps,DOMINION ENERGY INC,2005,D,33.02,37.85,4.83,14.63,1.74,1.72,-0.02,35.53,36.47,0.94,2.65,1.32,0.99,-0.33,37.01,37.5,0.49,1.32,0.58,0.51,-0.07,D,298,2000,4,6
Jay Johnson,DOMINION ENERGY INC,2007,D,38.29,43.89,5.6,14.63,1.73,1.94,0.21,40.28,42.43,2.15,5.34,0.98,1.36,0.38,41.13,40.84,-0.29,-0.71,0.53,0.61,0.08,D,26000,2001,1,7
Gary Sypolt,DOMINION ENERGY INC,2013,D,54.48,64.35,9.87,18.12,3.0,5.01,2.01,58.87,57.77,-1.1,-1.87,1.84,1.74,-0.1,59.65,55.77,-3.88,-6.5,1.5,0.72,-0.78,D,40822,2010,6,4
Thomas Reece,DOVER CORP,2004,DOV,21.78,26.7,4.92,22.59,3.59,1.15,-2.44,25.84,27.06,1.22,4.72,0.57,1.19,0.62,25.82,28.31,2.49,9.64,0.47,0.86,0.39,DOV,1504,2000,1,5
Ronald Hoffman,DOVER CORP,2008,DOV,31.55,24.19,-7.36,-23.33,3.04,6.24,3.2,31.22,33.23,2.01,6.44,3.28,1.27,-2.01,35.29,34.38,-0.91,-2.58,0.77,1.16,0.39,DOV,24420,2000,6,9
David Ropp,DOVER CORP,2009,DOV,24.19,27.45,3.26,13.48,6.24,3.72,-2.52,19.45,22.8,3.35,17.22,2.22,0.92,-1.3,21.31,22.9,1.59,7.46,0.6,0.92,0.32,DOV,27595,2002,6,8
David Van Loan,DOVER CORP,2011,DOV,32.69,40.1,7.41,22.67,3.2,3.99,0.79,37.19,42.25,5.06,13.61,1.33,2.23,0.9,38.85,39.6,0.75,1.93,0.39,1.57,1.18,DOV,30836,2006,1,6
Robert Livingston,DOVER CORP,2018,DOV,71.97,80.82,8.85,12.3,6.97,5.48,-1.49,81.65,78.02,-3.63,-4.45,2.43,2.47,0.04,81.23,80.61,-0.62,-0.76,1.92,1.52,-0.4,DOV,35267,2008,3,11
Thomas Giacomini,DOVER CORP,2012,DOV,40.1,39.92,-0.18,-0.45,3.99,2.63,-1.36,36.63,42.14,5.51,15.04,1.93,1.63,-0.3,38.16,40.52,2.36,6.18,0.87,1.36,0.49,DOV,36851,2009,1,4
Jeffrey Niew,DOVER CORP,2012,DOV,40.1,39.92,-0.18,-0.45,3.99,2.63,-1.36,36.63,42.14,5.51,15.04,1.93,1.63,-0.3,38.16,40.52,2.36,6.18,0.87,1.36,0.49,DOV,43855,2012,1,1
William Johnson,DOVER CORP,2014,DOV,54.19,66.15,11.96,22.07,5.93,4.85,-1.08,61.18,62.3,1.12,1.83,1.47,3.42,1.95,61.86,62.58,0.72,1.16,1.85,1.89,0.04,DOV,47266,2014,1,1
C. Fincher,DOVER CORP,2017,DOV,54.57,68.98,14.41,26.41,4.53,5.62,1.09,57.78,63.75,5.97,10.33,2.92,1.09,-1.83,61.19,63.36,2.17,3.55,0.6,1.11,0.51,DOV,47267,2014,1,4
Michael Parker,DUPONT DE NEMOURS INC,2002,DD,48.91,43.09,-5.82,-11.9,2.85,3.51,0.66,50.37,43.94,-6.43,-12.77,2.28,3.64,1.36,50.94,42.51,-8.43,-16.55,2.04,5.13,3.09,DD,10517,2000,1,3
Keith Reinhard,OMNICOM GROUP INC,2002,OMC,42.09,35.99,-6.1,-14.49,3.67,8.27,4.6,40.35,45.08,4.73,11.72,3.76,1.7,-2.06,43.7,44.11,0.41,0.94,0.91,0.7,-0.21,OMC,4369,2000,1,3
Allen Rosenshine,OMNICOM GROUP INC,2003,OMC,35.99,34.9,-1.09,-3.03,8.27,4.82,-3.45,31.09,28.76,-2.33,-7.49,2.45,2.61,0.16,32.96,31.8,-1.16,-3.52,0.91,1.63,0.72,OMC,4370,2000,1,4
Thomas Harrison,OMNICOM GROUP INC,2009,OMC,40.51,32.06,-8.45,-20.86,7.62,4.82,-2.8,28.32,25.4,-2.92,-10.31,3.24,1.85,-1.39,26.82,26.68,-0.14,-0.52,1.09,1.04,-0.05,OMC,18925,2000,1,10
Jean-Marie Dru,OMNICOM GROUP INC,2006,OMC,41.91,45.28,3.37,8.04,1.39,3.57,2.18,41.44,41.34,-0.1,-0.24,1.51,0.88,-0.63,43.12,42.09,-1.03,-2.39,0.44,0.62,0.18,OMC,28264,2002,1,5
Kenneth Kaess,OMNICOM GROUP INC,2005,OMC,38.84,41.91,3.07,7.9,2.77,1.39,-1.38,39.76,43.35,3.59,9.03,2.04,0.97,-1.07,41.14,42.47,1.33,3.23,0.51,0.46,-0.05,OMC,26815,2003,1,3
Andrew Robertson,OMNICOM GROUP INC,2010,OMC,32.06,39.7,7.64,23.83,4.82,3.6,-1.22,36.92,37.75,0.83,2.25,1.33,1.54,0.21,37.98,37.73,-0.25,-0.66,1.24,1.44,0.2,OMC,28265,2004,1,7
Charles Brymer,OMNICOM GROUP INC,2008,OMC,51.11,40.51,-10.6,-20.74,1.89,7.62,5.73,48.91,44.9,-4.01,-8.2,1.8,1.27,-0.53,48.26,44.73,-3.53,-7.31,0.71,1.22,0.51,OMC,32650,2006,1,3
Thomas Carroll,OMNICOM GROUP INC,2010,OMC,32.06,39.7,7.64,23.83,4.82,3.6,-1.22,36.92,37.75,0.83,2.25,1.33,1.54,0.21,37.98,37.73,-0.25,-0.66,1.24,1.44,0.2,OMC,41158,2010,1,1
Richard Priory,DUKE ENERGY CORP,2003,DUK,49.97,30.4,-19.57,-39.16,12.93,3.3,-9.63,33.95,27.63,-6.32,-18.62,1.51,4.16,2.65,34.17,32.3,-1.87,-5.47,0.78,2.98,2.2,DUK,2233,2000,1,4
Ruth Shaw,DUKE ENERGY CORP,2006,DUK,48.4,51.78,3.38,6.98,2.32,2.63,0.31,46.63,49.57,2.94,6.3,1.29,0.85,-0.44,47.28,49.22,1.94,4.1,0.82,0.59,-0.23,DUK,26159,2001,1,6
James Rogers,DUKE ENERGY CORP,2013,DUK,64.73,69.36,4.63,7.15,2.04,2.53,0.49,63.76,68.54,4.78,7.5,1.57,1.93,0.36,64.25,66.49,2.24,3.49,0.55,1.41,0.86,DUK,784,2006,1,8
Allan Schuman,ECOLAB INC,2004,ECL,25.68,30.44,4.76,18.54,1.07,2.58,1.51,26.81,27.32,0.51,1.9,0.66,0.48,-0.18,27.31,26.92,-0.39,-1.43,0.27,0.31,0.04,ECL,1829,2000,1,5
David Farr,EMERSON ELECTRIC CO,2021,EMR,66.1,94.5,28.4,42.97,10.31,4.74,-5.57,78.99,89.24,10.25,12.98,3.85,2.74,-1.11,82.04,85.74,3.7,4.51,1.83,1.43,-0.4,EMR,20396,2000,2,22
Michael Haefner,ATMOS ENERGY CORP,2019,ATO,98.33,106.97,8.64,8.79,4.94,6.67,1.73,104.7,110.9,6.2,5.92,2.54,1.82,-0.72,107.41,109.27,1.86,1.73,0.88,1.14,0.26,ATO,40590,2010,8,10
Thomas Chapman,EQUIFAX INC,2005,EFX,29.83,36.02,6.19,20.75,3.92,1.94,-1.98,35.51,34.33,-1.18,-3.32,0.8,0.91,0.11,36.47,34.23,-2.24,-6.14,0.43,1.12,0.69,EFX,4322,2000,8,6
Richard Smith,EQUIFAX INC,2017,EFX,131.48,118.55,-12.93,-9.83,8.75,8.4,-0.35,140.87,109.91,-30.96,-21.98,2.72,8.86,6.14,142.39,109.72,-32.67,-22.94,1.95,16.23,14.28,EFX,29414,2005,9,13
Paulino do Rego Barros,EQUIFAX INC,2018,EFX,120.8,117.29,-3.51,-2.91,11.89,13.18,1.29,118.5,130.28,11.78,9.94,4.86,3.89,-0.97,124.15,126.33,2.18,1.76,3.59,1.62,-1.97,EFX,45402,2013,7,6
Steven Schlotterbeck,EQT CORP,2018,EQT,32.2,24.52,-7.68,-23.85,2.23,4.28,2.05,29.87,27.13,-2.74,-9.17,2.06,1.11,-0.95,27.26,27.23,-0.03,-0.11,1.28,1.03,-0.25,EQT,35078,2008,3,11
Peter Rose,EXPEDITORS INTL WASH INC,2014,EXPD,40.82,42.42,1.6,3.92,2.88,2.23,-0.65,43.66,40.99,-2.67,-6.12,1.08,1.78,0.7,43.3,42.95,-0.35,-0.81,0.49,1.12,0.63,EXPD,11440,2000,1,15
Lee Raymond,EXXON MOBIL CORP,2005,XOM,57.58,63.86,6.28,10.91,3.83,4.72,0.89,59.65,59.65,0.0,0.0,2.96,1.58,-1.38,57.87,58.12,0.25,0.43,1.17,1.31,0.14,XOM,1101,2000,12,6
Rex Tillerson,EXXON MOBIL CORP,2016,XOM,85.2,82.42,-2.78,-3.26,5.01,3.14,-1.87,85.98,86.24,0.26,0.3,1.57,3.42,1.85,85.68,89.9,4.22,4.93,1.23,1.47,0.24,XOM,26689,2001,12,16
Robert Burt,FMC CORP,2001,FMC,13.39,14.22,0.83,6.2,1.54,2.18,0.64,15.19,16.12,0.93,6.12,0.58,0.76,0.18,14.96,15.52,0.56,3.74,0.4,0.45,0.05,FMC,384,2000,1,2
James Broadhead,NEXTERA ENERGY INC,2001,NEE,6.59,7.23,0.64,9.71,1.18,0.45,-0.73,8.25,7.75,-0.5,-6.06,0.28,0.36,0.08,8.42,7.63,-0.79,-9.38,0.39,0.4,0.01,NEE,391,2000,1,2
Armando Olivera,NEXTERA ENERGY INC,2012,NEE,13.89,16.45,2.56,18.43,0.45,1.0,0.55,14.03,14.99,0.96,6.84,0.52,0.14,-0.38,14.55,14.84,0.29,1.99,0.44,0.1,-0.34,NEE,23383,2000,1,13
Eric Silagy,NEXTERA ENERGY INC,2022,NEE,80.09,80.51,0.42,0.52,5.65,5.57,-0.08,86.42,80.23,-6.19,-7.16,4.0,4.71,0.71,90.67,82.21,-8.46,-9.33,1.45,5.7,4.25,NEE,49010,2015,1,8
T. Glenn,FEDEX CORP,2016,FDX,158.58,203.67,45.09,28.43,15.22,13.2,-2.02,174.56,191.6,17.04,9.76,8.69,4.05,-4.64,183.8,194.26,10.46,5.69,6.3,4.16,-2.14,FDX,17409,2000,12,17
Daniel Sullivan,FEDEX CORP,2006,FDX,90.25,109.67,19.42,21.52,6.41,5.93,-0.48,94.87,106.09,11.22,11.83,5.44,5.63,0.19,100.43,101.56,1.13,1.13,2.78,1.57,-1.21,FDX,3134,2002,1,5
David Rebholz,FEDEX CORP,2007,FDX,109.67,107.62,-2.05,-1.87,5.93,5.9,-0.03,114.04,112.25,-1.79,-1.57,2.83,3.22,0.39,112.94,109.66,-3.28,-2.9,3.54,1.4,-2.14,FDX,33976,2007,1,1
Donald Colleran,FEDEX CORP,2021,FDX,186.48,266.42,79.94,42.87,63.2,25.29,-37.91,276.98,258.02,-18.96,-6.85,11.59,11.33,-0.26,281.73,248.96,-32.77,-11.63,13.43,5.66,-7.77,FDX,58974,2019,1,3
George Schaefer,FIFTH THIRD BANCORP,2007,FITB,38.87,36.87,-2.0,-5.15,1.16,4.91,3.75,39.82,39.99,0.17,0.43,0.86,0.67,-0.19,40.52,39.79,-0.73,-1.8,0.64,0.58,-0.06,FITB,350,2000,1,8
